"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"m"	"TS_9delt_350"	50	"TS_9delt_400"
TRUE	"m"	"TS_9delt_400"	50	"TS_9delt_450"
TRUE	"l"	"TS_9delt_450"	50	"TS_9delt_500"
TRUE	"f"	NA	NA	"TS_10delt_500"
TRUE	"m"	"TS_10delt_500"	50	"TS_10delt_550"
TRUE	"m"	"TS_10delt_550"	50	"TS_10delt_600"
TRUE	"m"	"TS_10delt_600"	50	"TS_10delt_650"
TRUE	"m"	"TS_10delt_650"	50	"TS_10delt_700"
TRUE	"m"	"TS_10delt_700"	50	"TS_10delt_750"
TRUE	"m"	"TS_10delt_750"	50	"TS_10delt_800"
TRUE	"m"	"TS_10delt_800"	50	"TS_10delt_850"
TRUE	"m"	"TS_10delt_850"	50	"TS_10delt_900"
TRUE	"m"	"TS_10delt_900"	50	"TS_10delt_950"
TRUE	"l"	"TS_10delt_950"	50	"TS_10delt_1000"
TRUE	"f"	NA	NA	"TS_11delt_0"
TRUE	"m"	"TS_11delt_0"	50	"TS_11delt_50"
TRUE	"m"	"TS_11delt_50"	50	"TS_11delt_100"
TRUE	"m"	"TS_11delt_100"	50	"TS_11delt_150"
TRUE	"m"	"TS_11delt_150"	50	"TS_11delt_200"
TRUE	"m"	"TS_11delt_200"	50	"TS_11delt_250"
TRUE	"m"	"TS_11delt_250"	50	"TS_11delt_300"
TRUE	"m"	"TS_11delt_300"	50	"TS_11delt_350"
TRUE	"m"	"TS_11delt_350"	50	"TS_11delt_400"
TRUE	"m"	"TS_11delt_400"	50	"TS_11delt_450"
TRUE	"l"	"TS_11delt_450"	50	"TS_11delt_500"
TRUE	"f"	NA	NA	"TS_12delt_500"
TRUE	"m"	"TS_12delt_500"	50	"TS_12delt_550"
TRUE	"m"	"TS_12delt_550"	50	"TS_12delt_600"
TRUE	"m"	"TS_12delt_600"	50	"TS_12delt_650"
TRUE	"m"	"TS_12delt_650"	50	"TS_12delt_700"
TRUE	"m"	"TS_12delt_700"	50	"TS_12delt_750"
TRUE	"m"	"TS_12delt_750"	50	"TS_12delt_800"
TRUE	"m"	"TS_12delt_800"	50	"TS_12delt_850"
TRUE	"m"	"TS_12delt_850"	50	"TS_12delt_900"
TRUE	"m"	"TS_12delt_900"	50	"TS_12delt_950"
TRUE	"l"	"TS_12delt_950"	50	"TS_12delt_1000"
TRUE	"f"	NA	NA	"TS_13delt_0"
TRUE	"m"	"TS_13delt_0"	50	"TS_13delt_50"
TRUE	"m"	"TS_13delt_50"	50	"TS_13delt_100"
TRUE	"m"	"TS_13delt_100"	50	"TS_13delt_150"
TRUE	"m"	"TS_13delt_150"	50	"TS_13delt_200"
TRUE	"m"	"TS_13delt_200"	50	"TS_13delt_250"
TRUE	"m"	"TS_13delt_250"	50	"TS_13delt_300"
TRUE	"m"	"TS_13delt_300"	50	"TS_13delt_350"
TRUE	"m"	"TS_13delt_350"	50	"TS_13delt_400"
TRUE	"m"	"TS_13delt_400"	50	"TS_13delt_450"
TRUE	"l"	"TS_13delt_450"	50	"TS_13delt_500"
TRUE	"f"	NA	NA	"TS_14delt_500"
TRUE	"m"	"TS_14delt_500"	50	"TS_14delt_550"
TRUE	"m"	"TS_14delt_550"	50	"TS_14delt_600"
TRUE	"m"	"TS_14delt_600"	50	"TS_14delt_650"
TRUE	"m"	"TS_14delt_650"	50	"TS_14delt_700"
TRUE	"m"	"TS_14delt_700"	50	"TS_14delt_750"
TRUE	"m"	"TS_14delt_750"	50	"TS_14delt_800"
TRUE	"m"	"TS_14delt_800"	50	"TS_14delt_850"
TRUE	"m"	"TS_14delt_850"	50	"TS_14delt_900"
TRUE	"m"	"TS_14delt_900"	50	"TS_14delt_950"
TRUE	"l"	"TS_14delt_950"	50	"TS_14delt_1000"
TRUE	"f"	NA	NA	"TS_15delt_0"
TRUE	"m"	"TS_15delt_0"	50	"TS_15delt_50"
TRUE	"m"	"TS_15delt_50"	50	"TS_15delt_100"
TRUE	"m"	"TS_15delt_100"	50	"TS_15delt_150"
TRUE	"m"	"TS_15delt_150"	50	"TS_15delt_200"
TRUE	"m"	"TS_15delt_200"	50	"TS_15delt_250"
TRUE	"m"	"TS_15delt_250"	50	"TS_15delt_300"
TRUE	"m"	"TS_15delt_300"	50	"TS_15delt_350"
TRUE	"m"	"TS_15delt_350"	50	"TS_15delt_400"
TRUE	"m"	"TS_15delt_400"	50	"TS_15delt_450"
TRUE	"l"	"TS_15delt_450"	50	"TS_15delt_500"
TRUE	"f"	NA	NA	"TS_16delt_500"
TRUE	"m"	"TS_16delt_500"	50	"TS_16delt_550"
TRUE	"m"	"TS_16delt_550"	50	"TS_16delt_600"
TRUE	"m"	"TS_16delt_600"	50	"TS_16delt_650"
TRUE	"m"	"TS_16delt_650"	50	"TS_16delt_700"
TRUE	"m"	"TS_16delt_700"	50	"TS_16delt_750"
TRUE	"m"	"TS_16delt_750"	50	"TS_16delt_800"
TRUE	"m"	"TS_16delt_800"	50	"TS_16delt_850"
TRUE	"m"	"TS_16delt_850"	50	"TS_16delt_900"
TRUE	"m"	"TS_16delt_900"	50	"TS_16delt_950"
TRUE	"l"	"TS_16delt_950"	50	"TS_16delt_1000"
TRUE	"f"	NA	NA	"TS_17delt_0"
TRUE	"m"	"TS_17delt_0"	50	"TS_17delt_50"
TRUE	"m"	"TS_17delt_50"	50	"TS_17delt_100"
TRUE	"m"	"TS_17delt_100"	50	"TS_17delt_150"
TRUE	"m"	"TS_17delt_150"	50	"TS_17delt_200"
TRUE	"m"	"TS_17delt_200"	50	"TS_17delt_250"
TRUE	"m"	"TS_17delt_250"	50	"TS_17delt_300"
TRUE	"m"	"TS_17delt_300"	50	"TS_17delt_350"
TRUE	"m"	"TS_17delt_350"	50	"TS_17delt_400"
TRUE	"m"	"TS_17delt_400"	50	"TS_17delt_450"
TRUE	"l"	"TS_17delt_450"	50	"TS_17delt_500"
TRUE	"f"	NA	NA	"TS_18delt_500"
TRUE	"m"	"TS_18delt_500"	50	"TS_18delt_550"
TRUE	"m"	"TS_18delt_550"	50	"TS_18delt_600"
TRUE	"m"	"TS_18delt_600"	50	"TS_18delt_650"
TRUE	"m"	"TS_18delt_650"	50	"TS_18delt_700"
TRUE	"m"	"TS_18delt_700"	50	"TS_18delt_750"
TRUE	"m"	"TS_18delt_750"	50	"TS_18delt_800"
TRUE	"m"	"TS_18delt_800"	50	"TS_18delt_850"
TRUE	"m"	"TS_18delt_850"	50	"TS_18delt_900"
TRUE	"m"	"TS_18delt_900"	50	"TS_18delt_950"
TRUE	"l"	"TS_18delt_950"	50	"TS_18delt_1000"
TRUE	"f"	NA	NA	"TS_19delt_0"
TRUE	"m"	"TS_19delt_0"	50	"TS_19delt_50"
TRUE	"m"	"TS_19delt_50"	50	"TS_19delt_100"
TRUE	"m"	"TS_19delt_100"	50	"TS_19delt_150"
TRUE	"m"	"TS_19delt_150"	50	"TS_19delt_200"
TRUE	"m"	"TS_19delt_200"	50	"TS_19delt_250"
TRUE	"m"	"TS_19delt_250"	50	"TS_19delt_300"
TRUE	"m"	"TS_19delt_300"	50	"TS_19delt_350"
TRUE	"m"	"TS_19delt_350"	50	"TS_19delt_400"
TRUE	"m"	"TS_19delt_400"	50	"TS_19delt_450"
TRUE	"l"	"TS_19delt_450"	50	"TS_19delt_500"
TRUE	"f"	NA	NA	"TS_20delt_500"
TRUE	"m"	"TS_20delt_500"	50	"TS_20delt_550"
TRUE	"m"	"TS_20delt_550"	50	"TS_20delt_600"
TRUE	"m"	"TS_20delt_600"	50	"TS_20delt_650"
TRUE	"m"	"TS_20delt_650"	50	"TS_20delt_700"
TRUE	"m"	"TS_20delt_700"	50	"TS_20delt_750"
TRUE	"m"	"TS_20delt_750"	50	"TS_20delt_800"
TRUE	"m"	"TS_20delt_800"	50	"TS_20delt_850"
TRUE	"m"	"TS_20delt_850"	50	"TS_20delt_900"
TRUE	"m"	"TS_20delt_900"	50	"TS_20delt_950"
TRUE	"l"	"TS_20delt_950"	50	"TS_20delt_1000"
